LAT,LON
45.8163,-120.8165
43.639013,-94.098517
61.521812,-166.096304
40.970156,-117.734495
43.506137,-83.391446
42.0971,-88.7185
32.253963,-80.877647
45.053077,-92.155153
41.1366,-81.8622
47.9216,-122.0541
33.14543,-117.035159
42.486345,-70.958112
39.422675,-75.740239
40.6996,-73.9038
41.58498,-87.31998
40.768821,-87.990776
35.926783,-81.535735
38.794,-121.3349
44.0705,-89.2992
33.8897,-117.3097
39.060306,-94.602896
40.7757,-74.0253
45.5044,-122.5222
29.9439,-96.2542
41.764965,-71.242191
42.46363,-82.96204
41.4896,-87.3329
44.6892,-75.4846
41.802393,-78.442924
32.070832,-81.086287
39.083211,-108.479619
33.39498,-112.167071
35.390316,-94.688896
32.953213,-112.718666
41.284101,-80.959959
28.031181,-81.714154
41.7881,-87.7197
35.5043,-96.8924
31.897402,-92.24236
41.9752,-87.6801
44.943511,-93.130298
38.3323,-86.581
36.767854,-80.734866
39.263782,-94.444341
32.000151,-102.099082
30.362675,-103.664251
35.8265,-79.8211
40.0987,-75.254
40.716797,-116.110229
29.422732,-98.524738
28.801946,-81.732921
29.751023,-95.480849
42.204747,-71.845164
42.197365,-86.261219
37.058054,-120.847058
37.965699,-122.526057
32.85659,-96.704503
34.91539,-97.776422
41.304748,-112.037442
36.3332,-94.44557
39.540117,-119.714115
38.635559,-90.092792
29.48639,-98.561281
32.780992,-97.286916
36.1094,-79.8003
44.444823,-92.267107
41.9475,-87.7355
34.123,-77.9089
30.66502,-97.893301
46.3586,-94.7967
41.837114,-71.403963
31.152292,-89.415126
39.062389,-122.918166
45.767063,-122.544664
35.0792,-85.6317
39.142789,-121.144744
40.8371,-73.9135
48.590252,-109.229072
36.5879,-94.7762
38.564313,-75.568182
29.479319,-98.605191
32.24342,-90.222119
41.956436,-88.362188
37.461291,-89.252586
45.6846,-121.5465
40.6664,-74.2546
43.646115,-116.561982
45.027673,-92.788804
40.0393,-75.0519
30.262,-91.2503
42.9644,-88.0917
31.762845,-106.491129
38.737716,-94.820793
44.211929,-70.535141
42.262751,-96.868426
31.678466,-98.961455
44.638287,-70.131754
32.359271,-90.241394
40.67485,-89.653174
41.4472,-75.6036
31.580228,-97.078348
40.871013,-73.629791
42.360146,-83.047588
40.78893,-74.147591
41.5501,-73.0377
37.638674,-122.100354
36.842018,-86.845992
39.77501,-105.009658
36.161493,-115.194167
36.256667,-115.176877
41.171333,-80.692573
28.18631,-80.602224
46.435203,-115.887572
42.6699,-88.279
39.3653,-76.7569
40.3352,-80.0965
30.198711,-95.751675
33.96,-84.4791
31.982849,-102.12767
29.820662,-95.533147
30.437597,-84.217785
39.255702,-121.198999
43.552115,-116.53923
32.4338,-85.0205
29.893404,-95.621842
41.81116,-71.416421
42.453714,-89.054305
44.913291,-93.279083
33.9497,-83.7899
43.248564,-89.332365
35.734783,-83.448048
32.4875,-92.0886
36.2966,-76.9982
29.810014,-95.181706
39.7545,-105.0342
29.819847,-95.549803
29.5951,-97.962
40.8026,-73.9659
35.309825,-119.620902
36.1565,-95.9907
38.547717,-91.021014
33.764114,-96.537325
45.3253,-122.9824
61.531048,-165.585866
40.475532,-96.968742
39.5236,-83.436
36.595555,-94.382871
43.6058,-83.8655
41.208379,-85.181659
44.362137,-97.137316
41.535,-73.4309
38.777212,-121.365536
30.062205,-95.184391
40.546317,-111.847662
43.2398,-77.6527
28.041748,-80.651368
29.589172,-98.395319
28.452656,-82.626332
33.001502,-96.623892
42.078146,-79.220108
40.2764,-74.2093
43.572743,-116.283263
47.222439,-93.502833
29.996313,-95.480498
33.9488,-117.2124
32.860683,-117.205429
43.087634,-96.168203
40.314,-88.1494
33.427704,-104.513533
35.8772,-84.0671
41.269041,-112.017033
33.124833,-115.524939
43.1655,-88.1328
38.5139,-90.207
42.54365,-88.472173
40.629,-73.9798
41.452769,-81.456173
32.059952,-81.099486
36.9805,-85.9302
36.762704,-88.65094
34.0338,-117.9662
42.0092,-88.692
35.0536,-87.1573
34.0167,-85.0676
32.659887,-116.966695
35.009053,-90.796539
41.722837,-73.96442
34.540262,-101.760354
37.3629,-79.8999
34.057486,-118.261472
35.9359,-79.0436
40.4526,-79.8943
32.649527,-96.946979
40.028618,-74.895351
29.472289,-98.505191
40.8741,-74.2658
41.3911,-75.664
43.672989,-70.354595
43.699617,-116.412101
33.846753,-91.027864
36.3474,-83.2288
34.143955,-117.845426
40.7292,-73.9824
46.3833,-120.3133
37.847705,-94.370374
29.87189,-93.9494
35.1199,-90.0446
38.4252,-122.7462
27.907218,-97.156409
29.737194,-95.376308
34.038341,-117.153714
45.6254,-89.3675
33.915901,-81.392553
40.7579,-74.2465
33.674069,-96.599921
